driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
Mushkin Pilot 250GB MKNSSDPL250GB-D8,SSD,232.9,11628,1174,4662.4,199.52,0.25,2018,217
PNY CS3030 250GB SSD,SSD,232.9,11622,1176,5359.2,173.49,0.29,2019,218
Gigabyte AORUS RGB M.2 NVMe 256GB,SSD,238.5,11493,1186,12080.0,76.11,0.63,2019,219
KLEVV CRAS C710 M.2 NVMe SSD 256GB,SSD,238.5,11477,1188,3032.0,302.83,0.16,2020,220
Intel DC P3500 400GB NVMe,SSD,372.6,11434,1193,22811.2,40.1,0.77,2015,221
Corsair Force MP510 240GB,SSD,223.6,11305,1206,3919.2,230.77,0.22,2018,222
Samsung PM961 128GB NVMe,SSD,119.2,11155,1220,3832.8,232.83,0.4,2016,223
PNY CS2030 480GB SSD,SSD,447.1,11025,1240,20959.2,42.08,0.59,2017,224
HP SSD EX900 250GB,SSD,232.9,10947,1245,3199.2,273.74,0.17,2018,225
M Series NVMe SSD 256G,SSD,238.5,10932,1247,3852.0,227.05,0.2,2020,226
Lexar 250GB SSD,SSD,232.9,10920,1251,3199.2,273.06,0.17,2019,227
ADATA XPG SX8000 256GB,SSD,238.5,10917,1252,35735.2,24.44,1.87,2017,228
PLEXTOR PX-256M6S,SSD,238.5,10835,1259,20458.4,42.37,1.07,2014,229
Patriot P300 256GB,SSD,238.5,10687,1275,3199.2,267.25,0.17,2020,230
CT500P1SSD8,SSD,465.8,10684,1276,4639.2,184.23,0.12,2018,231
WDC WDS250G1B0C,SSD,232.9,10640,1278,5598.4,152.05,0.3,2019,232
Samsung SM951 128GB NVMe,SSD,119.2,10538,1284,6959.2,121.14,0.73,2015,233
PLEXTOR PX-256M8PeGN,SSD,238.5,10459,1295,22398.4,37.36,1.17,2016,234
G.SKILL Phoenix Blade 480GB,SSD,447.2,10453,1296,43999.2,19.01,1.23,2014,235
Mushkin Scorpion Deluxe PCIe SSD 480GB,SSD,443.3,10412,1302,81336.0,10.24,2.29,2013,236
PLEXTOR PX-256M8PeY,SSD,238.5,10375,1307,25358.4,32.73,1.33,2016,237
Intel SSD Pro 6000p 512GB,SSD,476.9,10374,1308,9520.0,87.18,0.25,2016,238
Intel SSD 660p 512GB,SSD,476.9,10337,1313,5599.2,147.7,0.15,2018,239
Intel DC P3600 800GB NVMe,SSD,745.2,10217,1324,70459.2,11.6,1.18,2014,240
PLEXTOR PX-256M8PeG,SSD,238.5,10147,1333,20730.4,39.16,1.09,2016,241
Intel 600P Series 1TB,SSD,953.9,10048,1344,66000.0,12.18,0.86,2016,242
Intel Optane SSD 800P 118GB,SSD,110.3,10048,1345,16930.4,47.48,1.92,2018,243
PNY CS2030 240GB SSD,SSD,223.6,10035,1346,6880.0,116.69,0.38,2016,244
