id,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
186,Intel Pentium Gold G6405 @ 4.10GHz,4808.0,4285,71.29,2534,42.16,58.0,2,LGA 1200,Desktop,Intel
187,Intel Pentium Gold G6500 @ 4.10GHz,7759.2,4147,42.76,2491,25.69,58.0,2,LGA 1200,Desktop,Intel
188,AMD Athlon 200GE,9911.2,4135,33.38,1817,14.67,35.0,2,AM4,Desktop,AMD
189,Intel Pentium Gold G6400 @ 4.00GHz,5970.4,4130,55.34,2484,33.29,58.0,2,LGA 1200,Desktop,Intel
190,Intel Pentium Gold G6500T @ 3.50GHz,6000.0,4005,53.4,2277,30.36,35.0,2,LGA 1200,Desktop,Intel
191,AMD PRO A12-9800,13520.0,3878,22.95,1775,10.5,65.0,4,AM4,Desktop,AMD
192,Intel Pentium Gold G6405T @ 3.50GHz,5120.0,3746,58.54,2206,34.47,35.0,2,LGA 1200,Desktop,Intel
193,AMD PRO A10-9700,13520.0,3644,21.56,1655,9.8,65.0,2,AM4,Desktop,AMD
194,AMD Athlon X4 950,2879.2,3611,100.32,1663,46.2,65.0,4,AM4,Desktop,AMD
195,Intel Pentium Gold G6400T @ 3.40GHz,5120.0,3610,56.4,2140,33.44,35.0,2,LGA 1200,Desktop,Intel
196,AMD A10-9700,7340.0,3546,38.64,1616,17.61,65.0,4,AM4,Desktop,AMD
197,AMD A12-9800E,29684.0,3447,9.29,1604,4.32,35.0,4,AM4,Desktop,AMD
198,AMD A12-9800,9988.0,3447,27.61,1607,12.87,65.0,2,AM4,Desktop,AMD
199,AMD PRO A8-9600,9520.0,3347,28.13,1468,12.34,65.0,2,AM4,Desktop,AMD
200,AMD A8-9600,7919.2,3291,33.24,1486,15.02,65.0,4,AM4,Desktop,AMD
201,AMD PRO A12-9800E,13520.0,3182,18.83,1551,9.18,35.0,4,AM4,Desktop,AMD
202,AMD A10-9700E,7439.2,2947,31.7,1413,15.2,35.0,4,AM4,Desktop,AMD
203,Intel Celeron G5925 @ 3.60GHz,4314.4,2939,54.49,2282,42.32,58.0,2,LGA 1200,Desktop,Intel
204,AMD PRO A10-9700E,11120.0,2896,20.83,1333,9.59,35.0,2,AM4,Desktop,AMD
205,Intel Celeron G5905 @ 3.50GHz,3775.2,2815,59.64,2189,46.39,58.0,2,LGA 1200,Desktop,Intel
206,Intel Celeron G5900 @ 3.40GHz,4319.2,2790,51.68,2150,39.82,58.0,2,LGA 1200,Desktop,Intel
207,Intel Celeron G5900T @ 3.20GHz,3360.0,2648,63.04,2041,48.6,35.0,2,LGA 1200,Desktop,Intel
208,Intel Celeron G5920 @ 3.50GHz,4959.2,2482,40.04,2151,34.7,58.0,2,LGA 1200,Desktop,Intel
209,Intel Celeron G5905T @ 3.30GHz,3360.0,2310,55.01,1996,47.52,35.0,2,LGA 1200,Desktop,Intel
210,AMD PRO A6-9500,5920.0,1875,25.34,1618,21.87,65.0,2,AM4,Desktop,AMD
211,AMD A6-9500,6033.6,1864,24.72,1618,21.45,65.0,2,AM4,Desktop,AMD
212,AMD A6-9500E,5956.0,1841,24.72,1478,19.85,35.0,2,AM4,Desktop,AMD
213,AMD PRO A6-9500E,5920.0,1662,22.46,1493,20.18,35.0,2,AM4,Desktop,AMD
