id,name,count,capacity,freq,timings,formFactor,type,price,link,value
114,Patriot Viper Steel RGB PVSR416G320C8K ,2,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4,4690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-patriot-pvsr416g320c8k-rtl-pc4-25600-cl18-di-1471149/,0.6840085287846481
115,Kingston VALUERAM KVR26N19S6/4 ,1,4,2666,19-19-19,"DIMM, 288-pin",DDR4,1590,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-4-ddr4-4gb-2666-dimm-ret-1107365/,1.679245283018868
116,Patriot Viper Steel PVS416G400C6K ,2,8,4000,16-16-16-36,"DIMM, 288-pin",DDR4,8690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-4000mhz-patriot-pvs416g400c6k-viper-steel-rtl-pc4-32-1639870/,0.4612197928653624
117,Kingston Fury Beast KF556C40BB-16 ,1,16,5600,40-40-40,"DIMM, 288-pin",DDR5,5790,https://www.citilink.ru/product/pamyat-ddr5-16gb-5600mgc-kingston-kf556c40bb-16-fury-beast-rtl-pc5-416-1676547/,0.9699481865284976
118,Kingston VALUERAM KVR32S22S8/16 ,1,16,3200,22-22-22,"SO-DIMM, 260-pin",DDR4,3590,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-kingston-kvr32s22s8-16-rtl-pc4-23400-cl19-so-1538473/,0.8958217270194986
119,AMD R538G1601U2SL-U ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3L,2700,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-amd-r538g1601u2sl-u-rtl-pc3-12800-cl11-long-di-1473461/,0.5955555555555555
120,Patriot Viper 3 PV38G160C9K ,2,4,1600,9-9-9-24,"DIMM, 240-pin",DDR3,2290,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv38g160c9k-ddr3-2x-4gb-1600-dimm-ret-390677/,0.7004366812227074
121,Corsair Vengeance LPX CMK32GX4M2E3200C16 ,2,16,3200,16-20-20-38,"DIMM, 288-pin",DDR4,9490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5200mhz-corsair-cmk32gx4m2e3200c16-vengeance-rtl-pc-1812083/,0.3388830347734457
122,Patriot Viper Steel PVS432G360C8K ,2,16,3600,18-22-22-42,"DIMM, 288-pin",DDR4,7890,https://www.citilink.ru/product/pamyat-ddr4-32gb-3600mhz-patriot-pvs432g360c8k-rtl-pc4-28800-cl18-288-1495492/,0.4583016476552598
123,AMD Radeon R7 Performance Series R744G2606S1S-U ,1,4,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4,790,https://www.citilink.ru/product/pamyat-ddr4-4gb-2666mhz-amd-r744g2606s1s-u-radeon-r7-performance-serie-1777078/,3.379746835443038
124,Patriot Signature PSD416G320081 ,1,16,3200,22-22-22-52,"DIMM, 288-pin",DDR4,3090,https://www.citilink.ru/product/modul-pamyati-patriot-psd416g320081-1483227/,1.040776699029126
125,Digma DGMAD43200016S ,1,16,3200,22-22-22-52,"DIMM, 288-pin",DDR4,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-digma-dgmad43200016s-rtl-pc4-25600-cl22-dimm-1784392/,1.11280276816609
126,Patriot Viper 4 Blackout PVB432G320C6K ,2,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4,6990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-patriot-pvb432g320c6k-rtl-pc4-25600-cl16-di-1396312/,0.4600858369098712
127,AMD R9 R9416G3206S2S-U ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4,2590,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-amd-r9416g3206s2s-u-rtl-pc4-19200-cl16-so-dim-1517341/,1.2416988416988417
128,Patriot Signature PSD44G240081S ,1,4,2400,17-17-17-39,"SO-DIMM, 260-pin",DDR4,949,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g240081s-ddr4-4gb-2400-so-dimm-re-1082699/,2.5331928345626977
129,NETAC Basic NTBSD4P26SP-16 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4,2690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-netac-ntbsd4p26sp-16-basic-rtl-cl19-dimm-288-1740122/,0.9970260223048328
130,Patriot Signature PSD44G266681S ,1,4,2666,19-19-19-39,"SO-DIMM, 260-pin",DDR4,990,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g266681s-ddr4-4gb-2666-so-dimm-re-1417054/,2.696969696969697
131,AMD R9 R9416G3206U2S-U ,1,16,3200,16-18-18-39,"DIMM, 260-pin",DDR4,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-amd-r9416g3206u2s-u-r9-rtl-pc4-25600-cl16-dim-1886248/,1.0081504702194355
132,Kingston Fury Impact KF426S15IB/8 ,1,8,2666,15-17-17,"SO-DIMM, 260-pin",DDR4,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingston-kf426s15ib-8-rtl-pc4-21300-cl15-so-di-1560742/,1.3437185929648243
133,Kingston Fury Beast Black KF436C18BB/16 ,1,16,3600,18-22-22,"DIMM, 288-pin",DDR4,4290,https://www.citilink.ru/product/pamyat-ddr4-16gb-3600mhz-kingston-kf436c18bb-16-rtl-pc4-28800-cl18-dim-1560752/,0.8428904428904429
134,Kingston Fury Impact KF432S20IBK2/16 ,2,8,3200,20-22-22,"SO-DIMM, 260-pin",DDR4,3990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432s20ibk2-16-fury-impact-rtl-pc4-1783686/,0.8040100250626566
135,Patriot Viper 4 Blackout PVB416G300C6K ,2,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-4-blackout-pvb416g300c6k-ddr4-2x-8gb-3000-1210868/,0.7936675461741425
136,Kingston Fury Beast Black KF437C19BBK2/16 ,2,8,3733,19-23-23,"DIMM, 288-pin",DDR4,4490,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3733mhz-kingston-kf437c19bbk2-16-rtl-cl19-dimm-288-p-1560213/,0.833184855233853
137,AMD Radeon R9 Gamer Series R948G3206S2S-U ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-amd-r948g3206s2s-u-radeon-r9-gamer-series-rtl-1874129/,2.153020134228188
138,Digma DGMAD42666008S ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-digma-dgmad42666008s-rtl-pc4-21300-cl19-dimm-2-1784364/,1.7946308724832214
139,Kingston Fury Beast Black KF426C16BB1/16 ,1,16,2666,16-18-18,"DIMM, 288-pin",DDR4,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kf426c16bb1-16-rtl-pc4-21300-cl16-di-1561173/,0.6721804511278195
140,AMD Radeon R7 Performance Series R748G2606U2S-UO ,1,8,2666,16-18-18-35,"DIMM, 288-pin",DDR4,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2606u2s-uo-ddr4-8g-1085015/,1.7946308724832214
141,AMD R3 Value R334G1339U1S-U ,1,4,1333,9-9-9-24,"DIMM, 240-pin",DDR3,690,https://www.citilink.ru/product/pamyat-ddr3-4gb-1333mhz-amd-r334g1339u1s-u-rtl-pc3-10600-cl9-dimm-240-1667204/,1.9376811594202896
142,Corsair Vengeance LPX CMK16GX4M1A2666C16 ,1,16,2666,16-18-18-35,"DIMM, 288-pin",DDR4,5700,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1a2666c16-ddr4-16gb-2666-352485/,0.4705263157894737
143,NETAC Basic NTBSD4N32SP-08 ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-netac-ntbsd4n32sp-08-basic-oem-cl22-so-dimm-26-1740130/,2.153020134228188
144,Patriot Signature PSP48G320081H1 ,1,8,3200,22-22-22-52,"DIMM, 288-pin",DDR4,1690,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psp48g320081h1-ddr4-8gb-3200-dimm-ret-1460395/,1.8982248520710057
145,Patriot Viper Elite II PVE2416G400C0K ,2,8,4000,20-26-26-46,"DIMM, 288-pin",DDR4,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-4000mhz-patriot-pve2416g400c0k-rtl-pc4-32000-cl20-di-1555018/,0.873202614379085
146,Patriot Viper 3 PV316G160C0K ,2,8,1600,10-10-10-27,"DIMM, 240-pin",DDR3,3590,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g160c0k-ddr3-2x-8gb-1600-dimm-ret-402239/,0.4479108635097493
147,Patriot Viper Steel RGB PVSR432G320C8K ,2,16,3200,18-22-22-42,"DIMM, 288-pin",DDR4,7590,https://www.citilink.ru/product/modul-pamyati-patriot-pvsr432g320c8k-1483228/,0.4237154150197628
148,Kingston Fury Impact KF426S15IB1/16 ,1,16,2666,15-17-17,"SO-DIMM, 260-pin",DDR4,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kf426s15ib1-16-rtl-pc4-21300-cl15-so-1561174/,0.6721804511278195
149,Patriot Viper Steel PVS416G360C7K ,2,8,3600,17-19-19-39,"DIMM, 288-pin",DDR4,4790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g360c7k-ddr4-2x-8gb-3600-dimm-1134494/,0.7532359081419624
150,Patriot Signature PSD416G26662 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4,2990,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd416g26662-ddr4-16gb-2666-dimm-ret-1077812/,0.8969899665551839
151,Kingston Fury Impact KF426S15IBK2/16 ,2,8,2666,15-17-17,"SO-DIMM, 260-pin",DDR4,3990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-kingston-kf426s15ibk2-16-fury-impact-rtl-pc4-1783700/,0.6701754385964912
152,NETAC Shadow NTSDD4P32SP-16Y ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4,3490,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntsdd4p32sp-16y-shadow-rtl-pc4-25600-cl-1810006/,0.921489971346705
